fid,plot_number,grvi_count,grvi_sum,grvi_mean,grvi_stdev,grvi_min,grvi_max
"50","1003",190,1696.61681652069,8.92956219221416,1.3498868040005,3.62395930290222,11.8659410476685
"51","1103",190,1588.6897623539,8.36152506502051,1.3719841423528,3.50425696372986,11.1343097686768
"52","1203",191,1676.78193712234,8.77896302158296,1.3908564453905,2.99183368682861,10.6064519882202
"53","1303",194,1822.2295935154,9.39293604904843,1.63459226910463,2.97864770889282,11.1556882858276
"54","1403",198,1784.32318353653,9.01173325018449,1.71783656549754,2.96252655982971,11.4796962738037
"55","1503",199,1704.22377276421,8.56393855660405,1.59974968475362,2.84509587287903,11.1454038619995
"56","1603",198,1686.71353411674,8.51875522281184,1.52469181728941,2.9023768901825,11.2531976699829
"57","1703",199,1731.66203451157,8.70181926890234,1.71281791591226,3.24990010261536,11.1035604476929
"58","1803",198,1565.59494042397,7.90704515365639,1.32935630744483,3.26881122589111,9.58139896392822
"59","1903",199,1584.72964453697,7.96346555043705,1.45490726491402,3.47155952453613,10.1430797576904
"60","2003",197,943.716303825378,4.79043809048415,0.848818143847998,2.49749994277954,6.18938636779785
"61","104",192,1530.68751525879,7.97233080863953,0.989709254348835,3.83598804473877,9.50618457794189
"62","204",189,2023.82274913788,10.7080568737454,1.10405495509062,5.13431739807129,12.1289587020874
"63","304",189,1724.70562171936,9.12542656994371,1.03702353383981,5.36334133148193,11.3175954818726
"64","404",189,1637.64882421494,8.66480859372982,0.909922199107557,6.04280948638916,10.733717918396
"65","504",189,1827.45265054703,9.66906164310597,1.03336553053649,5.56058835983276,11.5761566162109
"66","604",189,1717.09641551971,9.08516621968103,0.772826795905375,6.59361171722412,10.6938238143921
"67","704",189,1752.04701852798,9.27009004512161,0.76281759387674,6.7642936706543,11.0538673400879
"68","804",189,1723.45264291763,9.11879705247425,0.719630070154815,7.09284734725952,10.5096387863159
"69","904",192,1820.78634691238,9.483262223502,1.02080053609077,7.31445646286011,11.4226589202881
"70","1004",196,1880.94649219513,9.59666577650576,1.21181717385368,6.69226312637329,12.3827829360962
"71","1104",199,1865.43333244324,9.37403684644843,1.28256546291952,5.1537766456604,11.5723943710327
"72","1204",198,1802.07878875732,9.10140802402689,1.12438151099933,5.44042015075684,11.214072227478
"73","1304",199,2068.67381858826,10.3953458220515,1.29831491085542,5.65931177139282,12.6416177749634
"74","1404",198,1606.3751950264,8.11300603548686,1.05388095918204,4.96615934371948,10.0716886520386
"75","1504",198,1727.23527812958,8.72341049560393,1.06039304608707,5.53246259689331,10.863205909729
"76","1604",198,1635.11742401123,8.25816880813753,1.35954134991619,4.84121894836426,11.1579399108887
"77","1704",194,1713.99759626389,8.83503915599941,1.24141018893387,5.19106960296631,10.8028354644775
"78","1804",191,1725.85553836823,9.03589287103783,0.978610747429582,5.98619222640991,10.6842546463013
"79","1904",189,1610.39693641663,8.52061871119908,0.866752397460997,6.09943246841431,10.0435972213745
"80","2004",189,854.445180177689,4.52087396919412,1.32734555174737,2.05084252357483,6.58415842056274
"81","105",189,1447.27294015884,7.65752878390923,1.31666452833964,2.877525806427,9.5638484954834
"82","205",189,1761.77479290962,9.32155975084456,1.09411741125641,3.83943057060242,10.6722373962402
"83","305",189,1657.3393201828,8.76899111207831,0.988287242816537,4.32842397689819,10.0412673950195
"84","405",189,1663.20501685143,8.80002654418744,1.31755399310764,3.80044674873352,10.8410358428955
"85","505",191,1707.56768369675,8.94014494082066,1.16405123367974,4.24297857284546,11.046558380127
"86","605",194,1836.53508901596,9.46667571657712,0.839917321747184,5.58957576751709,10.7198314666748
"87","705",198,1780.59351158142,8.99289652313849,0.89946122656262,5.17977333068848,10.556113243103
"88","805",198,2064.90155172348,10.4287957157752,1.06793506595784,6.148268699646,12.1977186203003
"89","905",198,1822.56898403168,9.20489385874584,0.999294441047376,5.95166206359863,11.2156419754028
"90","1005",199,1847.76764249802,9.28526453516591,1.28990102042534,5.90292501449585,11.7602233886719
"91","1105",198,1771.94236207008,8.94920384883881,1.13749311677344,3.970858335495,10.9997968673706
"92","1205",199,1847.49861335754,9.28391262993741,1.25510572702883,4.3784613609314,11.2281360626221
"93","1305",195,1829.72644042969,9.38321251502404,1.18623062420315,4.23709583282471,11.2831964492798
"94","1405",192,1818.71218013763,9.47245927155018,1.20687768970362,5.05895662307739,11.4392614364624
"95","1505",189,1626.1510477066,8.60397379738944,1.14175791042504,4.13644790649414,10.3270807266235
"96","1605",189,1712.19041633606,9.05920855204264,1.27139167176166,4.28279733657837,11.2367486953735
"97","1705",189,1646.10674905777,8.70955951882418,0.977978182634841,5.35229587554932,10.7289113998413
"98","1805",189,1783.19625711441,9.43490083129318,1.12527225220748,5.4805793762207,11.3425807952881
"99","1905",189,1612.89823389053,8.5338530893679,1.03645812668405,5.57386255264282,10.3929557800293
"100","2005",189,853.365929365158,4.5151636474347,1.33993141952141,2.39287161827087,7.99786520004272
"101","106",190,1593.24507141113,8.38550037584807,0.807701644540137,5.87831115722656,9.86069393157959
"102","206",193,1879.44603395462,9.73806235209648,0.602567612328697,6.85266542434692,10.7787132263184
"103","306",196,1851.02411413193,9.44400058230575,0.805937837471069,7.76215028762817,11.004900932312
"104","406",199,1802.89541864395,9.05977597308518,0.730354647439355,6.05502080917358,10.5371561050415
"105","506",198,1795.5727519989,9.0685492525197,0.592987385093312,7.05647754669189,10.2362470626831
"106","606",199,1798.26702165604,9.036517696764,0.783425097691104,6.77252101898193,10.5804491043091
"107","706",198,2334.45367670059,11.7901700843464,1.11218007662823,7.25803804397583,13.932300567627
"108","806",198,1911.36623859406,9.65336484138412,1.12508886875726,5.74400043487549,11.6768445968628
"109","906",198,1818.874958992,9.18623716662628,1.00904473774374,5.79557800292969,10.7492504119873
"110","1006",194,1657.12666893005,8.5418900460312,0.931378607547876,6.86304664611816,10.7716617584229
"111","1106",191,1511.58599090576,7.91406277961132,0.912017591130511,5.447585105896,10.0286436080933
"112","1206",190,1706.87224578857,8.98353813572934,1.01961418247253,5.6769642829895,11.0559053421021
"113","1306",189,1933.34961414337,10.2293630377956,0.971038959434879,7.81649589538574,12.3091497421265
"114","1406",189,1820.03324890137,9.62980554974268,1.03394628007783,6.29555749893188,11.8365030288696
"115","1506",189,1674.15651988983,8.8579710047081,0.924605639477025,5.75545597076416,10.7459506988525
"116","1606",189,1652.41146564484,8.74291780764464,1.11840070050282,5.260338306427,10.8093309402466
"117","1706",189,1589.84650039673,8.41188624548534,0.818608748480814,5.44250822067261,9.84544086456299
"118","1806",191,1822.59075164795,9.54235995627199,1.09887176010066,5.69686031341553,11.4411602020264
"119","1906",194,1520.82160425186,7.83928661985496,1.27127240447394,4.54200792312622,9.74478816986084
"120","2006",198,577.212874650955,2.91521653864119,0.877700130639869,1.94501972198486,5.87684774398804
"121","107",198,1456.16808414459,7.35438426335653,1.5682135240823,2.80219578742981,9.94542217254639
"122","207",199,1733.8047003746,8.71258643404323,1.06454655972461,4.50676965713501,10.644359588623
"123","307",199,1879.29465508461,9.44369173409352,1.36280440876798,3.24660754203796,11.1194581985474
"124","407",198,1718.14243531227,8.67748704703167,1.37545768966541,3.14994812011719,10.7723035812378
"125","507",199,1835.68724298477,9.22455900997373,1.31028689945165,3.71442365646362,11.1541833877563
"126","607",195,1819.26347351074,9.32955627441406,1.49467847589104,3.40239977836609,11.1455230712891
"127","707",192,1499.38555812836,7.80929978191853,0.807166894583182,4.17601299285889,9.27511978149414
"128","807",189,1714.25543999672,9.07013460315724,1.37432690587029,3.58206152915955,11.3895597457886
"129","907",189,1573.5026640892,8.32541092110689,1.60826952414729,2.79151105880737,10.5508813858032
"130","1007",189,1729.05410766602,9.14843443209532,1.82576643089438,3.68257403373718,12.332405090332
"131","1107",190,1903.24752950668,10.0170922605615,1.53772089356606,4.28057909011841,12.526291847229
"132","1207",190,1845.48407816887,9.71307409562563,1.69276690841595,3.08761620521545,12.1683464050293
"133","1307",190,1778.31432747841,9.35954909199163,1.49997401285576,3.28990983963013,11.7226085662842
"134","1407",190,1665.24780130386,8.7644621121256,1.50192296732827,3.02438139915466,11.2433214187622
"135","1507",193,1724.94579577446,8.93754298328736,1.66375846269308,3.28821587562561,11.4749717712402
"136","1607",197,1746.17285299301,8.86382158879701,1.74487931509801,3.30376172065735,11.3153390884399
"137","1707",198,1722.48202300072,8.69940415656928,1.68500099207306,3.17146301269531,11.1733865737915
"138","1807",198,1856.1213953495,9.37435048156314,1.78984415475417,3.36417126655579,11.6532735824585
"139","1907",199,1550.70284223557,7.79247659414857,1.35690186028565,3.57425403594971,9.73826503753662
"140","2007",198,927.069641828537,4.68216990822493,0.811269943928393,2.35208892822266,6.71704435348511
"141","108",199,1531.51155328751,7.69603795621862,1.01326082843238,4.85660791397095,9.43568229675293
"142","208",197,1784.60753822327,9.05892151382369,0.922381356758401,7.00220823287964,10.7473773956299
